Name	Meta	main_role	sub_role	Function	locus_tag
B0490_RS06400	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	peptidoglycan DD-metalloendopeptidase family protein	PgPan_0142
CS059_RS08455	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	N-acetylmuramoyl-L-alanine amidase	PgPan_0208
CF001_RS16445	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	UDP-glucose/GDP-mannose dehydrogenase family protein	PgPan_0243
murF	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	PgPan_0272
murQ	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	N-acetylmuramic acid 6-phosphate etherase	PgPan_0279
AT291_RS03005	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	bifunctional UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase/alanine racemase	PgPan_0281
murA	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	PgPan_0394
murB	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	UDP-N-acetylmuramate dehydrogenase	PgPan_0415
CF003_RS15385	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glucosamine-6-phosphate deaminase	PgPan_0465
CF003_RS15420	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	nucleotide sugar dehydrogenase	PgPan_0472
SJDPG2_RS05395	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	transporter substrate-binding domain-containing protein	PgPan_0511
CF002_RS09945	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	N-acetylmuramoyl-L-alanine amidase	PgPan_0665
CLI74_RS05605	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glycosyltransferase family 2 protein	PgPan_0760
SJDPG2_RS08405	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	mannose-1-phosphate guanylyltransferase	PgPan_0768
PGA7_RS09830	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	peptidoglycan DD-metalloendopeptidase family protein	PgPan_0786
CS548_RS03245	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	phosphatase PAP2 family protein	PgPan_0865
CS543_RS10005	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	M15 family metallopeptidase	PgPan_0937
CS059_RS06000	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glycosyltransferase family 2 protein	PgPan_1005
CS059_RS05390	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	lytic transglycosylase domain-containing protein	PgPan_1116
CS387_RS07825	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	family 20 glycosylhydrolase	PgPan_1264
AT291_RS04780	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	LysM peptidoglycan-binding domain-containing protein	PgPan_1292
CBG53_RS07945	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	PgPan_1314
wecC	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	UDP-N-acetyl-D-mannosamine dehydrogenase	PgPan_1315
CF001_RS13880	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	D-alanine--D-alanine ligase	PgPan_1349
murI	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	glutamate racemase	PgPan_1368
CS387_RS04195	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	UDP-N-acetylmuramate--L-alanine ligase	PgPan_1526
murG	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	PgPan_1527
murD	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	PgPan_1529
CS546_RS02215	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	phospho-N-acetylmuramoyl-pentapeptide- transferase	PgPan_1530
SJDPG2_RS04155	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase"	PgPan_1531
CF002_RS08735	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	N-acetylmuramidase	PgPan_1701
CF001_RS18345	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	transporter substrate-binding domain-containing protein	PgPan_1765
mrdA	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	penicillin-binding protein 2	PgPan_1868
mreD	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	rod shape-determining protein MreD	PgPan_1869
PGS_RS04050	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	rod shape-determining protein	PgPan_1871
uppP	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	undecaprenyl-diphosphate phosphatase	PgPan_1893
CS388_RS04470	Cell structure	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan	polysaccharide deacetylase family protein	PgPan_1920
PGF_RS04965	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	alpha-mannosidase	PgPan_0096
AT291_RS03840	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	alpha-mannosidase	PgPan_0155
PGA7_RS04400	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	sulfatase-like hydrolase/transferase	PgPan_0201
CS374_RS00030	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	sugar transferase	PgPan_0251
B0492_RS00375	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	outer membrane lipoprotein-sorting protein	PgPan_0321
CLI74_RS02810	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	sugar transferase	PgPan_0344
kdsB	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	3-deoxy-manno-octulosonate cytidylyltransferase	PgPan_0359
CS059_RS09805	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	lipid A deacylase	PgPan_0422
CS388_RS01695	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	CapA family protein	PgPan_0443
gmd	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	"GDP-mannose 4,6-dehydratase"	PgPan_0463
CS059_RS04730	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	Gfo/Idh/MocA family oxidoreductase	PgPan_0734
CS544_RS05875	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	lysophospholipid acyltransferase family protein	PgPan_0761
lpxB	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	lipid-A-disaccharide synthase	PgPan_0811
rfbB	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	"dTDP-glucose 4,6-dehydratase"	PgPan_0835
rfbD	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	dTDP-4-dehydrorhamnose reductase	PgPan_0836
rfbC	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	"dTDP-4-dehydrorhamnose 3,5-epimerase"	PgPan_0837
rfbA	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	glucose-1-phosphate thymidylyltransferase RfbA	PgPan_0838
B0490_RS00425	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	alkaline phosphatase family protein	PgPan_0839
CBG53_RS03550	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	3-deoxy-D-manno-octulosonic acid transferase	PgPan_0840
cls	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	cardiolipin synthase	PgPan_0942
CS546_RS07525	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	alpha-mannosidase	PgPan_0967
CS550_RS07670	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	alpha-mannosidase	PgPan_0968
kdsA	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	3-deoxy-8-phosphooctulonate synthase	PgPan_0994
CS387_RS08880	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	isoprenyl transferase	PgPan_1069
CS550_RS08455	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	lipopolysaccharide biosynthesis protein	PgPan_1122
B0490_RS08605	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	glycosyltransferase family 4 protein	PgPan_1126
CS388_RS04955	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	N-acetyltransferase	PgPan_1232
CF002_RS10055	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	hypothetical protein	PgPan_1274
lpxA	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	PgPan_1286
lpxD	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	PgPan_1288
EG14_RS01850	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	SIS domain-containing protein	PgPan_1300
wecB	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	PgPan_1326
CF003_RS14230	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	glycosyltransferase	PgPan_1332
PGS_RS06015	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	HAD-IIIA family hydrolase	PgPan_1459
lpxK	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	tetraacyldisaccharide 4-kinase	PgPan_1478
lptB	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	LPS export ABC transporter ATP-binding protein	PgPan_1488
CF001_RS18945	Cell structure	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	"UDP-2,3-diacylglucosamine diphosphatase"	PgPan_1654
